Layer name, IFMAP Height Intraline Factor, IFMAP Width Intraline Factor, Filter Height Intraline Factor, Filter Width Intraline Factor, Channel Intraline Factor, Num Filter Intraline Factor, IFMAP Height Intraline Order, IFMAP Width Intraline Order, Channel Intraline Order, IFMAP Height Interline Order, IFMAP Width Interline Order, Channel Interline Order, Num Filter Intraline Order, Channel Intraline Order, Filter Height Intraline Order, Filter Width Intraline Order, Num Filter Interline Order, Channel Interline Order, Filter Height Interline Order, Filter Width Interline Order, 
Conv1,4,224,1,1,1,64,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv2_1a,18,56,1,1,1,64,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv2_1b,18,56,1,1,1,64,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv2_2a,18,56,1,1,1,64,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv2_2b,18,56,1,1,1,64,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv3_1a,18,56,1,1,1,128,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv3_1b,28,28,1,1,1,128,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv3_s,18,56,1,1,1,128,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv3_2a,28,28,1,1,1,128,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv3_2b,28,28,1,1,1,128,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv4_1a,28,28,1,1,1,256,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv4_1b,14,14,1,1,5,256,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv4_s,28,28,1,1,1,256,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv4_2a,14,14,1,1,5,256,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv4_2b,14,14,1,1,5,256,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv5_1a,14,14,1,1,5,512,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv5_1b,7,7,1,1,20,512,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv5_s,14,14,1,1,5,512,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv5_2a,7,7,1,1,20,512,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
Conv5_2b,7,7,1,1,20,512,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
FC,1,1,1,1,512,1000,1,2,0,4,5,3,3,0,1,2,7,4,5,6,
