Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,2160,4096,3,3,3,32,2,
Conv3,1080,2048,1,1,32,64,1,
Conv5,540,1024,1,1,64,128,1,
Conv7,540,1024,1,1,128,128,1,
Conv9,270,512,1,1,128,256,1,
Conv11,270,512,1,1,256,256,1
Conv13,135,256,1,1,256,512,1,
Conv15_0,135,256,1,1,512,512,1,
Conv15_1,135,256,1,1,512,512,1,
Conv15_2,135,256,1,1,512,512,1,
Conv15_3,135,256,1,1,512,512,1,
Conv15_4,135,256,1,1,512,512,1,
Conv17,67,128,1,1,512,1024,1,
Conv19,67,128,1,1,1024,1024,1,
FC,1,1,1,1,1024,1000,1,
