Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, 
Conv1a,2048,2048,3,3,1,64,1,
Conv1b,2046,2046,3,3,64,64,1,
Conv2a,1022,1022,3,3,64,128,1,
Conv2b,1020,1020,3,3,128,128,1,
Conv3a,509,509,3,3,128,256,1,
Conv3b,507,507,3,3,256,256,1,
Conv4a,253,253,3,3,256,512,1,
Conv4b,251,251,3,3,512,512,1,
Conv5a,125,125,3,3,512,1024,1,
Conv5b,123,123,3,3,1024,1024,1,
Conv6a,241,241,3,3,1024,512,1,
Conv6b,239,239,3,3,512,512,1,
Conv7a,473,473,3,3,512,256,1,
Conv7b,471,471,3,3,256,256,1,
Conv8a,938,938,3,3,256,128,1,
Conv8b,936,936,3,3,128,128,1,
Conv9a,1868,1868,3,3,128,64,1,
Conv9b,1866,1866,3,3,64,64,1,
Conv10,1864,1864,1,1,64,2,1,
