Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Conv1, 2160, 4096, 3, 3, 3, 32, 2,
Conv2_dw, 1080, 2048, 3, 3, 1, 1, 1,#dw
Conv3, 1080, 2048, 1, 1, 32, 64, 1,
Conv4_dw, 1080, 2048, 3, 3, 1, 1, 2,#dw
Conv5, 540, 1024, 1, 1, 64, 128, 1,
Conv6_dw, 540, 1024, 3, 3, 1, 1, 1,#dw
Conv7, 540, 1024, 1, 1, 128, 128, 1,
Conv8_dw, 540, 1024, 3, 3, 1, 1, 2,#dw
Conv9,270,512,1,1,128,256,1,
Conv10_dw,270,512,3,3,1,1,1,#dw
Conv11,270,512,1,1,256,256,1
Conv12_dw,270,512,3,3,1,1,2,#dw
Conv13,135,256,1,1,256,512,1,
Conv14_dw_0,135,256,3,3,1,1,1,#dw
Conv15_0,135,256,1,1,512,512,1,
Conv14_dw_1,135,256,3,3,1,1,1,#dw
Conv15_1,135,256,1,1,512,512,1,
Conv14_dw_2,135,256,3,3,1,1,1,#dw
Conv15_2,135,256,1,1,512,512,1,
Conv14_dw_3,135,256,3,3,1,1,1,#dw
Conv15_3,135,256,1,1,512,512,1,
Conv14_dw_4,135,256,3,3,1,1,1,#dw
Conv15_4,135,256,1,1,512,512,1,
Conv16_dw,135,256,3,3,1,1,2,#dw
Conv17,67,128,1,1,512,1024,1,
Conv18_dw,67,128,3,3,1,1,2,#dw
Conv19,67,128,1,1,1024,1024,1,
FC, 1, 1, 1, 1, 1024, 1000, 1,
