Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Conv1, 224, 224, 3, 3, 3, 32, 2,
Conv2_dw, 112, 112, 3, 3, 1, 1, 1,#dw
Conv3, 112, 112, 1, 1, 32, 64, 1,
Conv4_dw, 112, 112, 3, 3, 1, 1, 2,#dw
Conv5, 56, 56, 1, 1, 64, 128, 1,
Conv6_dw, 56, 56, 3, 3, 1, 1, 1,#dw
Conv7, 56, 56, 1, 1, 128, 128, 1,
Conv8_dw, 56, 56, 3, 3, 1, 1, 2,#dw
Conv9,28,28,1,1,128,256,1,
Conv10_dw,28,28,3,3,1,1,1,#dw
Conv11,28,28,1,1,256,256,1
Conv12_dw,28,28,3,3,1,1,2,#dw
Conv13,14,14,1,1,256,512,1,
	Conv14_dw_0,14,14,3,3,1,1,1,
	Conv15_0,14,14,1,1,512,512,1,
	Conv14_dw_1,14,14,3,3,1,1,1,
	Conv15_1,14,14,1,1,512,512,1,
	Conv14_dw_2,14,14,3,3,1,1,1,
	Conv15_2,14,14,1,1,512,512,1,
	Conv14_dw_3,14,14,3,3,1,1,1,
	Conv15_3,14,14,1,1,512,512,1,
	Conv14_dw_4,14,14,3,3,1,1,1,
	Conv15_4,14,14,1,1,512,512,1,
Conv16_dw,14,14,3,3,1,1,2,#dw
Conv17,7,7,1,1,512,1024,1,
Conv18_dw,7,7,3,3,1,1,2,#dw
Conv19,7,7,1,1,1024,1024,1,
FC, 1, 1, 1, 1, 1024, 1000, 1,
