Layer name,     IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Batch Size,
Embedding,      512,          512,         1,             1,            3,        4096,       1,       1,
Attention_1,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_2,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_3,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_4,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_5,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_6,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_7,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_8,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_9,    512,          512,         1,             1,            4096,     16,         1,       1,
Attention_10,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_11,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_12,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_13,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_14,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_15,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_16,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_17,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_18,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_19,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_20,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_21,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_22,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_23,   512,          512,         1,             1,            4096,     16,         1,       1,
Attention_24,   512,          512,         1,             1,            4096,     16,         1,       1,
FeedForward_1,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_2,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_3,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_4,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_5,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_6,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_7,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_8,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_9,  512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_10, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_11, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_12, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_13, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_14, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_15, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_16, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_17, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_18, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_19, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_20, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_21, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_22, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_23, 512,          512,         1,             1,            4096,     16384,      1,       1,
FeedForward_24, 512,          512,         1,             1,            4096,     16384,      1,       1,
LayerNorm,      512,          512,         1,             1,            4096,     4096,       1,       1,
FinalLayerNorm, 512,          512,         1,             1,            4096,     4096,       1,       1,
