Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv1,224,224,7,7,3,64,1,
layer_64_1_conv4,56,56,1,1,64,256,1,
layer_64_1_conv1,56,56,1,1,64,64,1,
layer_64_1_conv2,56,56,3,3,64,64,1,
layer_64_1_conv3,56,56,1,1,64,256,1,
layer_64_2_conv1,56,56,1,1,256,64,1,
layer_64_2_conv2,56,56,3,3,64,64,1,
layer_64_2_conv3,56,56,1,1,64,256,1,
layer_64_3_conv1,56,56,1,1,256,64,1,
layer_64_3_conv2,56,56,3,3,64,64,1,
layer_64_3_conv3,56,56,1,1,64,256,1,
layer_128_1_conv4,56,56,1,1,256,512,1,
layer_128_1_conv1,56,56,1,1,256,128,1,
layer_128_1_conv2,56,56,3,3,128,128,1,
layer_128_1_conv3,28,28,1,1,128,512,1,
layer_128_2_conv1,28,28,1,1,512,128,1,
layer_128_2_conv2,28,28,3,3,128,128,1,
layer_128_2_conv3,28,28,1,1,128,512,1,
layer_128_3_conv1,28,28,1,1,512,128,1,
layer_128_3_conv2,28,28,3,3,128,128,1,
layer_128_3_conv3,28,28,1,1,128,512,1,
layer_128_4_conv1,28,28,1,1,512,128,1,
layer_128_4_conv2,28,28,3,3,128,128,1,
layer_128_4_conv3,28,28,1,1,128,512,1,
layer_256_1_conv4,28,28,1,1,512,1024,1,
layer_256_1_conv1,28,28,1,1,512,256,1,
layer_256_1_conv2,28,28,3,3,256,256,1,
layer_256_1_conv3,14,14,1,1,256,1024,1,
layer_256_2_conv1,14,14,1,1,1024,256,1,
layer_256_2_conv2,14,14,3,3,256,256,1,
layer_256_2_conv3,14,14,1,1,256,1024,1,
layer_256_3_conv1,14,14,1,1,1024,256,1,
layer_256_3_conv2,14,14,3,3,256,256,1,
layer_256_3_conv3,14,14,1,1,256,1024,1,
layer_256_4_conv1,14,14,1,1,1024,256,1,
layer_256_4_conv2,14,14,3,3,256,256,1,
layer_256_4_conv3,14,14,1,1,256,1024,1,
layer_256_5_conv1,14,14,1,1,1024,256,1,
layer_256_5_conv2,14,14,3,3,256,256,1,
layer_256_5_conv3,14,14,1,1,256,1024,1,
layer_256_6_conv1,14,14,1,1,1024,256,1,
layer_256_6_conv2,14,14,3,3,256,256,1,
layer_256_6_conv3,14,14,1,1,256,1024,1,
layer_512_1_conv4,14,14,1,1,1024,2048,1,
layer_512_1_conv1,14,14,1,1,1024,512,1,
layer_512_1_conv2,14,14,3,3,512,512,1,
layer_512_1_conv3,7,7,1,1,512,2048,1,
layer_512_2_conv1,7,7,1,1,2048,512,1,
layer_512_2_conv2,7,7,3,3,512,512,1,
layer_512_2_conv3,7,7,1,1,512,2048,1,
layer_512_3_conv1,7,7,1,1,2048,512,1,
layer_512_3_conv2,7,7,3,3,512,512,1,
layer_512_3_conv3,7,7,1,1,512,2048,1,
fc1000,1,1,1,1,2048,1000,1,
