Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv1,12544,64,1,64,1,147,1,
layer_64_1_conv4,3136,256,1,256,1,64,1,
layer_64_1_conv1,3136,64,1,64,1,64,1,
layer_64_1_conv2,3136,64,1,64,1,576,1,
layer_64_1_conv3,3136,256,1,256,1,64,1,
layer_64_2_conv1,3136,64,1,64,1,256,1,
layer_64_2_conv2,3136,64,1,64,1,576,1,
layer_64_2_conv3,3136,256,1,256,1,64,1,
layer_64_3_conv1,3136,64,1,64,1,256,1,
layer_64_3_conv2,3136,64,1,64,1,576,1,
layer_64_3_conv3,3136,256,1,256,1,64,1,
layer_128_1_conv4,784,512,1,512,1,256,1,
layer_128_1_conv1,3136,128,1,128,1,256,1,
layer_128_1_conv2,784,128,1,128,1,1152,1,
layer_128_1_conv3,784,512,1,512,1,128,1,
layer_128_2_conv1,784,128,1,128,1,512,1,
layer_128_2_conv2,784,128,1,128,1,1152,1,
layer_128_2_conv3,784,512,1,512,1,128,1,
layer_128_3_conv1,784,128,1,128,1,512,1,
layer_128_3_conv2,784,128,1,128,1,1152,1,
layer_128_3_conv3,784,512,1,512,1,128,1,
layer_128_4_conv1,784,128,1,128,1,512,1,
layer_128_4_conv2,784,128,1,128,1,1152,1,
layer_128_4_conv3,784,512,1,512,1,128,1,
layer_256_1_conv4,196,1024,1,1024,1,512,1,
layer_256_1_conv1,784,256,1,256,1,512,1,
layer_256_1_conv2,196,256,1,256,1,2304,1,
layer_256_1_conv3,196,1024,1,1024,1,256,1,
layer_256_2_conv1,196,256,1,256,1,1024,1,
layer_256_2_conv2,196,256,1,256,1,2304,1,
layer_256_2_conv3,196,1024,1,1024,1,256,1,
layer_256_3_conv1,196,256,1,256,1,1024,1,
layer_256_3_conv2,196,256,1,256,1,2304,1,
layer_256_3_conv3,196,1024,1,1024,1,256,1,
layer_256_4_conv1,196,256,1,256,1,1024,1,
layer_256_4_conv2,196,256,1,256,1,2304,1,
layer_256_4_conv3,196,1024,1,1024,1,256,1,
layer_256_5_conv1,196,256,1,256,1,1024,1,
layer_256_5_conv2,196,256,1,256,1,2304,1,
layer_256_5_conv3,196,1024,1,1024,1,256,1,
layer_256_6_conv1,196,256,1,256,1,1024,1,
layer_256_6_conv2,196,256,1,256,1,2304,1,
layer_256_6_conv3,196,1024,1,1024,1,256,1,
layer_512_1_conv4,49,2048,1,2048,1,1024,1,
layer_512_1_conv1,196,512,1,512,1,1024,1,
layer_512_1_conv2,49,512,1,512,1,4608,1,
layer_512_1_conv3,49,2048,1,2048,1,512,1,
layer_512_2_conv1,49,512,1,512,1,2048,1,
layer_512_2_conv2,49,512,1,512,1,4608,1,
layer_512_2_conv3,49,2048,1,2048,1,512,1,
layer_512_3_conv1,49,512,1,512,1,2048,1,
layer_512_3_conv2,49,512,1,512,1,4608,1,
layer_512_3_conv3,49,2048,1,2048,1,512,1,
fc1000,1,1000,1,1000,1,2048,1,
