Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv1,147,12544,1,12544,1,64,1,
layer_64_1_conv4,64,3136,1,3136,1,256,1,
layer_64_1_conv1,64,3136,1,3136,1,64,1,
layer_64_1_conv2,576,3136,1,3136,1,64,1,
layer_64_1_conv3,64,3136,1,3136,1,256,1,
layer_64_2_conv1,256,3136,1,3136,1,64,1,
layer_64_2_conv2,576,3136,1,3136,1,64,1,
layer_64_2_conv3,64,3136,1,3136,1,256,1,
layer_64_3_conv1,256,3136,1,3136,1,64,1,
layer_64_3_conv2,576,3136,1,3136,1,64,1,
layer_64_3_conv3,64,3136,1,3136,1,256,1,
layer_128_1_conv4,256,784,1,784,1,512,1,
layer_128_1_conv1,256,3136,1,3136,1,128,1,
layer_128_1_conv2,1152,784,1,784,1,128,1,
layer_128_1_conv3,128,784,1,784,1,512,1,
layer_128_2_conv1,512,784,1,784,1,128,1,
layer_128_2_conv2,1152,784,1,784,1,128,1,
layer_128_2_conv3,128,784,1,784,1,512,1,
layer_128_3_conv1,512,784,1,784,1,128,1,
layer_128_3_conv2,1152,784,1,784,1,128,1,
layer_128_3_conv3,128,784,1,784,1,512,1,
layer_128_4_conv1,512,784,1,784,1,128,1,
layer_128_4_conv2,1152,784,1,784,1,128,1,
layer_128_4_conv3,128,784,1,784,1,512,1,
layer_256_1_conv4,512,196,1,196,1,1024,1,
layer_256_1_conv1,512,784,1,784,1,256,1,
layer_256_1_conv2,2304,196,1,196,1,256,1,
layer_256_1_conv3,256,196,1,196,1,1024,1,
layer_256_2_conv1,1024,196,1,196,1,256,1,
layer_256_2_conv2,2304,196,1,196,1,256,1,
layer_256_2_conv3,256,196,1,196,1,1024,1,
layer_256_3_conv1,1024,196,1,196,1,256,1,
layer_256_3_conv2,2304,196,1,196,1,256,1,
layer_256_3_conv3,256,196,1,196,1,1024,1,
layer_256_4_conv1,1024,196,1,196,1,256,1,
layer_256_4_conv2,2304,196,1,196,1,256,1,
layer_256_4_conv3,256,196,1,196,1,1024,1,
layer_256_5_conv1,1024,196,1,196,1,256,1,
layer_256_5_conv2,2304,196,1,196,1,256,1,
layer_256_5_conv3,256,196,1,196,1,1024,1,
layer_256_6_conv1,1024,196,1,196,1,256,1,
layer_256_6_conv2,2304,196,1,196,1,256,1,
layer_256_6_conv3,256,196,1,196,1,1024,1,
layer_512_1_conv4,1024,49,1,49,1,2048,1,
layer_512_1_conv1,1024,196,1,196,1,512,1,
layer_512_1_conv2,4608,49,1,49,1,512,1,
layer_512_1_conv3,512,49,1,49,1,2048,1,
layer_512_2_conv1,2048,49,1,49,1,512,1,
layer_512_2_conv2,4608,49,1,49,1,512,1,
layer_512_2_conv3,512,49,1,49,1,2048,1,
layer_512_3_conv1,2048,49,1,49,1,512,1,
layer_512_3_conv2,4608,49,1,49,1,512,1,
layer_512_3_conv3,512,49,1,49,1,2048,1,
fc1000,2048,1,1,1,1,1000,1,
